,REM,CHOICE,17,K,ICHI,21,K,WIND,18,K,NEO,19,K,FRY,23,K,POLL,19,K,ROOF,21,K,IPA,17,K,IZZY,23,K,WORK,24,K,CORN,16,K,AIDS,18,K,TONES,22,K,NATE,18,K,PWRS,20,K,BALK,24,K,REM
2026,320,Brophy,154.62,,Jay/Paul,176.96,,Sean,166.85,,Tim,102.13,,Jorve,112.87,,Anton,106.88,,Mark,155.73,,Chris/Vijay,144.35,,Ray,144.57,,Dubner,172.79,,Ryan,128.73,,Josh,160.17,,Michael,134.47,,Nathan,109.91,,Starr,149.44,,Ian,97.80,,320
C,4,Ag. Ramirez,1.00,S1,W. Contreras,13.50,K3,A. Rutschman,4.00,S3,G. Moreno,1.50,H3,C. Raleigh,6.75,K3,,,,D. Dingler,3.00,HTH,,,,,,,S. Perez,4.50,K3,H. Goodman,4.95,K2,A. Kirk,1.35,K2,W. Smith,10.80,K2,S. Langeliers,0.90,K3,,,,K. Teel,0.50,K2,C
1B,10,K. Manzardo,1.00,S1,,,,,,,N. Kurtz,1.00,S1,,,,,,,,,,S. Torkelson,1.00,S1,,,,,,,,,,,,,M. Busch,1.50,S2,B. Rice,6.75,K2,,,,P. Alonso,29.70,K1,1B
2B,8,,,,C. Rafaela,4.05,K3,,,,L. Keaschall,1.00,S1,,,,B. Turang,7.20,K2,,,,N. Gorman,4.00,S3,B. Donovan,3.60,K3,,,,K. Marte,17.10,K3,B. Stott,5.40,K2,G. Torres,4.95,K2,,,,,,,,,,2B
3B,7,J. Caminero,1.00,S1,M. Machado,18.00,K2,M. Chapman,6.75,K3,,,,,,,J. Ramirez,39.60,K3,,,,C. Durbin,0.50,K2,C. Montgomery,0.50,H1,,,,M. Garcia,3.60,K2,,,,E. Suarez,3.15,K3,,,,,,,A. Bohm,4.00,S3,3B
SS,6,J. Wilson,2.25,K2,,,,T. Story,3.15,K2,Z. Neto,6.30,K3,,,,J. Pena,7.50,S4,C. Abrams,1.50,S2,B. Bichette,16.20,K2,B. Witt,4.00,H4,T. Turner,26.10,K2,G. Perdomo,0.50,K2,D. Swanson,9.00,K2,,,,,,,,,,,,,SS
OF,7,B. Buxton,9.00,K3,,,,,,,J.H. Lee,1.00,H2,B. Rooker,17.10,K2,,,,,,,D. Varsho,4.00,H4,,,,J. Marsee,6.00,HTH,J. Soto,49.50,K3,J.Wood,1.00,S1,,,,D. Lile,6.00,HTH,,,,G. Stanton,0.50,K2,OF
CF,5,W. Langford,1.00,S1,L. Butler,0.50,K3,,,,B. Marsh,4.00,S3,,,,T. Grisham,6.00,HTH,J. Rodriguez,1.50,S2,A. Pages,1.00,S1,P. Crow-Armstrong,1.00,H2,B. Doyle,0.50,K3,O. Cruz,1.50,H3,,,,,,,,,,M. Harris,7.50,S4,T.J. Friedl,3.15,K3,CF
RF,8,A. Barger,0.50,K2,,,,,,,,,,R. Acuna,41.80,K2,,,,K. Tucker,7.50,S4,S. Frelick,1.00,H2,A. Judge,47.70,K3,,,,T. Hernandez,22.50,K2,J. Lowe,4.00,S3,,,,,,,K. Stowers,0.90,K2,,,,RF
UT,24,,,,,,,,,,J. Aranda,5.85,K2,R. Greene,1.50,H3,,,,,,,V. Scott II,1.00,H2,,,,,,,,,,G. Springer,4.50,K2,,,,,,,I. Herrera,2.70,K2,,,,UT
UT,,W. Abreu,3.15,K3,,,,,,,,,,C. Carroll,4.00,S3,,,,,,,,,,J. Caballero,0.90,K2,,,,,,,,,,,,,,,,,,,,,,UT
SP,30,P. Skenes,1.50,S2,N. Lodolo,7.50,S4,R. Weathers,5.85,K3,J. deGrom,18.10,K3,D. Rasmussen,10.80,K3,M. Fried,26.10,K2,F. Valdez,25.20,K2,G. Cole,10.80,K2,R. Nelson,0.50,K2,C. Schlittler,6.00,HTH,T. Bibee,4.00,S3,R. Ray,6.75,K3,C. Rodon,12.60,K2,C. Sanchez,9.00,K3,N. Pivetta,9.90,K2,,,,SP
SP,,L. Webb,21.60,K2,N. Cameron,0.50,H2,G. Kirby,4.00,S3,C. Ragans,36.90,K2,M. Liberatore,1.00,H2,J. Musgrove,1.35,K2,F. Peralta,17.10,K2,D. May,4.00,H4,B. Woodruff,5.40,K3,R. Suarez,3.15,K3,J. Jones,1.50,S2,A. Abbott,6.00,HTH,M. Burrows,6.00,HTH,B. Woo,28.80,K2,K. Bradish,1.80,K2,,,,SP
SP,,E. Sheehan,6.00,HTH,,,,S. Bieber,6.30,K2,T. Rogers,6.00,HTH,,,,,,,K. Gausman,8.55,K2,B. Bello,3.60,K2,,,,G. Williams,4.00,S3,G. Stone,1.50,H3,S. Imanaga,1.50,H3,,,,K. Senga,4.00,H4,B. Ashcraft,0.90,K2,,,,SP
SP,,,,,,,,M. Gore,1.50,H3,N. Eovaldi,10.80,K3,,,,,,,H. Brown,4.00,H4,S. Gray,15.30,K2,,,,,,,G. Crochet,4.00,S3,S. Baz,7.50,S4,,,,C. Sale,31.50,K2,,,,,,,SP
SP,,,,,,,,K. Bubic,0.50,K3,,,,,,,,,,R. Pepiot,17.10,K2,,,,,,,,,,,,,E. Cabrera,4.00,S3,,,,,,,,,,,,,SP
RP,80,A. Ashby,1.00,S1,P. Maton,2.00,HTH,E. Pagan,2.00,HTH,,,,A. Munoz,5.85,K2,T. Megill,2.70,K2,S. Smith,0.50,K2,B. King,2.00,HTH,,,,,,,R. Sasaki,1.00,H2,B. Pfaadt,1.50,H3,J. Duran,7.50,S4,,,,J. Wrobleski,2.00,HTH,D. Palencia,2.00,HTH,RP
RP,,,,,,,,,,,,,,,,,,,,,,,R. Detmers,4.00,H4,,,,,,,M. Miller,1.50,H3,,,,A. Chapman,2.70,K2,,,,,,,,,,RP
RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I. Seymour,2.00,HTH,,,,,,,,,,,,,,,,RP
RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP
RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP
RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP
BN,61,L. O'Hoppe,1.00,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,G. Lux,1.00,H2,,,,,,,,,,,,,,,,BN
BN,,R. Lewis,4.00,S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN
BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN
BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN
SN1,70,,,,B. Lee,1.00,H2,A. Thomas,1.00,S1,A. Volpe,1.50,S2,,,,J. Merrill,1.50,S2,,,,,,,,,,,,,,,,J. Dominguez,1.00,H2,J. Hoffman,4.00,S3,J. Boyle,1.00,S1,T. Soderstrom,1.00,S1,E. Tovar,1.00,H2,SN1
SN2,,,,,G. Mitchell,1.00,H2,M. Meyer,1.50,S2,,,,,,,D. Baldwin,1.00,S1,,,,,,,,,,,,,,,,,,,,,,J. Leiter,1.00,S1,C. Horton,1.00,S1,,,,SN2
SN3,,,,,T. Bradley,1.00,H2,G. Henderson,1.50,S2,,,,,,,J. Adell,1.50,S2,,,,,,,,,,,,,,,,,,,,,,S. Woods-Richardson,1.50,S2,M. Vargas,1.00,H2,,,,SN3
SN4,,,,,,,,Y. Yamamoto,1.50,S2,,,,,,,C. Cowser,1.50,S2,,,,,,,,,,,,,,,,,,,,,,M. Vientos,1.50,S2,H. Ramos,1.50,S2,,,,SN4
SN5,,,,,,,,,,,,,,,,,G. Holmes,1.00,H2,,,,,,,,,,,,,,,,,,,,,,E. De La Cruz,1.50,S2,,,,,,,SN5
SN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B. Baty,1.00,S1,,,,,,,SN6
AA,,C. Burns,0.00,,L. Brinson,0.00,,T. Casas,0.00,,T. Bazzana,0.00,,J. Perdomo,0.00,,F. Kilome,0.00,,F. Barreto,0.00,,B. Shipley,0.00,,A. Martin,0.00,,A. Jackson,0.00,,L. Armenteros,0.00,,C. Martin,0.00,,E. Green,0.00,,K. Mcgonigle ,0.00,,F. Whitley,0.00,,C. Moore,0.00,,AA
AA,,J. Caglianone,0.00,,J. Biddle,0.00,,C. Fulmer,0.00,,B. Rainer,0.00,,Q. Priester,0.00,,N. Pearson,0.00,,E. Florial,0.00,,B. Shipley,0.00,,D. Waters,0.00,,K. Watson,0.00,,J. Groome,0.00,,S. Howard,0.00,,T. Thomas,0.00,,F. Alvarez,0.00,,J. Guerra,0.00,,J. Crawford,0.00,,AA
AA,,Z. Matthews,0.00,,N. Marte,0.00,,K. Robinson,0.00,,J. Lebron,0.00,,J. Jobe,0.00,,C. Cowser,0.00,,C. Pache,0.00,,A. Hansen,0.00,,E. Morales,0.00,,H. Davis,0.00,,F. Celesten,0.00,,B. Rocchio,0.00,,J. Triantos,0.00,,A. Baddoo,0.00,,B. Eldridge,0.00,,J. De Paula,0.00,,AA
AA,,D. Crews,0.00,,R. Herrera,0.00,,E. Carter,0.00,,R. Snelling,0.00,,Ad. Sanchez,0.00,,B. Goodwin,0.00,,C. Keith ,0.00,,B. House,0.00,,,,,J. Gonzalez,0.00,,D. Cartaya,0.00,,C. Collier,0.00,,A. Gose,0.00,,L. Montes,0.00,,C. Smith,0.00,,L. De Vries,0.00,,AA
AA,,J. Lawlar,0.00,,W. Javier,0.00,,K. Alcantara,0.00,,H. Smith,0.00,,K. Rocker,0.00,,T. Lutz,0.00,,T. Trammell,0.00,,J. LaViolette,0.00,,H. Kjerstad,0.00,,W. Jenkins,0.00,,N. Carlos Vera,0.00,,R. Hassell,0.00,,P. Burdick,0.00,,E. Rodriguez,0.00,,C. Mayo,0.00,,H. Takahashi,0.00,,AA
AA,,J. De Jesus Gonzalez,0.00,,S. Jones,0.00,,T. Hence,0.00,,M. Ballesteros,0.00, ,R. Pint,0.00,,A. Meyer,0.00,,L. Matos,0.00,,E. Rodriguez,0.00,,T. Bremner,0.00,,S. Zavala,0.00,,A. Tejeda,0.00,,H. Bishop,0.00,,J. De Leon,0.00,,L. Doyle,0.00,,A. Miller,0.00,,C. Benge,0.00,,AA
AA,,G. Lombard Jr.,0.00,,S. Walcott,0.00,,C. Norby,0.00,,F. Arias,0.00,,M. Liberatore,0.00,,T. Szapucki,0.00,,S. Beer,0.00,,M. Harrison,0.00,,R. Ryan,0.00,,C. DeLauter,0.00,,B. McKay,0.00,,B. Thompson,0.00,,T. Beede,0.00,,A. Arquette,0.00,,A. Duno,0.00,,E. Florentino,0.00,,AA
AA,,D. Whitney,0.00,,J. Misiorowski,0.00,,M. Winn,0.00,,R. Calaz,0.00,,O. Colas,0.00,,A. Medina,0.00,,M. Baez,0.00,,DL Hall,0.00,,J. Farmelo,0.00,,C. Emerson,0.00,,R. Arias,0.00,,S. Basallo,0.00,,Z. Hope,0.00,,J. Williams,0.00,,D. Burress,0.00,,C. Jensen,0.00,,AA
AA,,A. Gracia,0.00,,D. Jones,0.00,,F. Wall,0.00,,T. White,0.00,,T. Johnson,0.00,,C. Spangenberg,0.00,,A. Faedo,0.00,,J. Bart,0.00,,J. Adams,0.00,,A. Genao,0.00,,C. Vaquero,0.00,,J. Luis,0.00,,T. White,0.00,,R. Tiedemann,0.00,,O. Peraza,0.00,,E. Conrad,0.00,,AA
AA,,M. Arroyo,0.00,,T. Bradley,0.00,,X. Isaac,0.00,,C. Hernandez,0.00,,Ja. Jung,0.00,,M. Banuelos,0.00,,D. Garcia,0.00,,Z. Veen,0.00,,A. Painter,0.00,,P. Tolle,0.00,,D.J. Peterson,0.00,,T. Black,0.00,,N. McLean,0.00,,H. Waldrep,0.00,,Q. Mathews,0.00,,T. Gillen,0.00,,AA
AA,,C. Condon,0.00,,K. Griffin,0.00,,O. Caissie,0.00,,C. Early,0.00,,M. Clark,0.00,,J. Turner,0.00,,T. Widener,0.00,,A. Bracho,0.00,,S. Yamashita,0.00,,L. Hernandez,0.00,,J. P. Martinez,0.00,,C. Young,0.00,,D. Beavers,0.00,,R. Anthony,0.00,,C. Dana,0.00,,,,,AA
AA,,A. Freeland,0.00,,B. Chandler,0.00,,C. Williams,0.00,,S. Strosnider,0.00,,X. Neyens,0.00,,A.J. Reed,0.00,,Jah. Jones,0.00,,S. Torkelson,0.00,,B. Montgomery,0.00,,,,,P. Eeles,0.00,,J. Bukauskas,0.00,,,,,J. Holliday,0.00,,T. Yesavage,0.00,,,,,AA
AA,,B. Wilken,0.00,,J. Arnold,0.00,,N. Schultz,0.00,,K. Okamoto,0.00,,K. Campbell,0.00,,M. Manning,0.00,,V. Brujan,0.00,,A. Page,0.00,,E. Hancock,0.00,,,,,,,,C. Dollander,0.00,,,,,,,,R. Waldschmidt,0.00,,,,,AA
AA,,D. Curley,0.00,,Jai. Chourio,0.00,,T. Troy,0.00,,,,,A. Nimmala,0.00,,R. Lewis,0.00,,G. Canning,0.00,,G. Lavigne,0.00,,,,,,,,,,,,,,,,,,,,C. Bonemer,0.00,,,,,AA
AA,,N. Gonzales,0.00,,J. Parker,0.00,,N. Meyer,0.00,,,,,J. Briceno,0.00,,S. Sanchez,0.00,,R. Mauricio,0.00,,E. Hankins,0.00,,,,,,,,,,,,,,,,,,,,R. Velazquez,0.00,,,,,AA
AA,,O. Martinez,0.00,,,,,T. Sykora,0.00,,,,,Y. Curet,0.00,,C. Winn,0.00,,E. Perez,0.00,,E. Holliday,0.00,,,,,,,,,,,,,,,,,,,,C. Lagrange,0.00,,,,,AA
AA,,R. Vilade,0.00,,,,,G. Taylor,0.00,,,,,R. Sloan,0.00,,D. Lesko,0.00,,L. Allen,0.00,,M. Murakami,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,K. Allard,0.00,,,,,S. Stewart,0.00,,,,,K. Anderson,0.00,,,,,G. Valera,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,D. Cameron,0.00,,,,,L. Pena (MIL),0.00,,,,,C. Fuller,0.00,,,,,J. Dunn,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,C. Kieboom,0.00,,,,,Rain. Rodriguez,0.00,,,,,H. Alvarez,0.00,,,,,C. Abrams,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,T. Yamada,0.00,,,,,M. Sirota,0.00,,,,,J. Wiggins,0.00,,,,,M. Luciano,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,P. Messick,0.00,,,,,,,,,,,G. Rodriguez,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,J. Bleday,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,J. Groshans,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,L. Patino,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,J. Walker,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,M. Mayer,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,D. Espino,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,B. Davis,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,J. Barrero,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,J. Balazovic,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,M. Abel,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,R. Contreras,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,K. Harrison,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
MISC,,Pick Swap,1.00,,Pick Swap,-1.00,,Pick Swap,1.50,,Pick Swap,-10.50,,,,,Pick Swap,-1.00,,Pick Swap,-2.50,,Pick Swap,-2.00,,,,,Pick Swap,-2.50,,Soto/Crochet,-19.43,,Pick Swap,-2.50,,Chapman,3.25,,Peterson Aranda,-2.50,,Ragans,4.00,,Pick Swap,10.50,,MISC
MISC,,Palencia,-0.50,,Torres,-2.25,,,,,Moreno,4.50,,,,,,,,Pick Swap,-1.50,,SG,3.50,,,,,Hoffman,-1.50,,Moreno,-4.50,,Sonny Gray,-3.50,,Jeff Hoffman,1.50,,Lile,1.00,,Herrera/Musgrove,3.50,,Soto/Crochet,19.43,,MISC
MISC,,Suarez,-7.00,,,,,,,,Marsh,0.50,,,,,,,,Pick Swap,-1.50,,Pick Swap,-7.50,,,,,Pick Swap,-5.50,,,,,Chapman,-3.25,,Torres,2.25,,,,,Pick Swap,2.50,,Marsh,-0.50,,MISC
MISC,,,,,,,,,,,Pick Swap,1.50,,,,,,,,Pick Swap,-18.50,,,,,,,,Lile,-1.00,,,,,,,,Suarez,7.00,,,,,Pick Swap,7.00,,Pick Swap,2.50,,MISC
MISC,,,,,,,,,,,Pick Swap,7.50,,,,,,,,Pick Swap,-7.00,,,,,,,,Shane Smith,-1.50,,,,,,,,,,,,,,Pick Swap,5.50,,Pick Swap,2.00,,MISC
MISC,,,,,,,,,,,Pick Swap,3.50,,,,,,,,Pick Swap,-5.50,,,,,,,,,,,,,,,,,,,,,,,,,,Pick Swap,18.50,,MISC
MISC,,,,,,,,,,,Peterson Aranda,2.50,,,,,,,,Pick Swap,-3.50,,,,,,,,,,,,,,,,,,,,,,,,,,Pick Swap,2.00,,MISC
MISC,,,,,,,,,,,,,,,,,,,,Shane Smith,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,Pick Swap,1.00,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick Swap,5.50,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palencia,0.50,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
LUX,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,5.95,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,LUX
MCQ,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,3.00,,,0.00,,,0.00,,,0.00,,,6.00,,,0.00,,,2.50,,,0.00,,MCQ
INN,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,INN
$$$,C.O.,,-2.12,,,-22.76,,,-7.90,,,-5.58,,,-1.67,,,-2.83,,,-3.18,,,-6.75,,,-11.17,,,-11.04,,,-26.90,,,-4.42,,,-7.67,,,-2.86,,,-4.64,,,-0.08,,$$$
%,Hit,10%,18.90,,18%,36.05,,7%,13.90,,11%,20.65,,40%,71.15,,33%,60.30,,7%,13.50,,16%,28.70,,31%,57.70,,20%,37.10,,49%,99.65,,14%,25.25,,12%,22.20,,8%,13.65,,6%,11.10,,21%,37.85,,Hit
%,Pit,17%,30.10,,5%,10.00,,11%,20.15,,39%,71.80,,10%,17.65,,17%,30.15,,40%,72.45,,21%,39.70,,3%,5.90,,7%,13.15,,8%,15.50,,15%,27.25,,9%,16.20,,41%,73.30,,8%,14.60,,1%,2.00,,Pit
%,Ben,3%,5.00,,1%,3.00,,3%,5.50,,1%,1.50,,0%,0.00,,4%,6.50,,0%,0.00,,0%,0.00,,0%,0.00,,0%,0.00,,0%,1.00,,1%,1.00,,2%,4.00,,4%,7.50,,2%,4.50,,1%,1.00,,Ben