Player,Team,,Team,MS-to-RFA
Lane Thomas,AIDS,,,
Loures Gurriel,AIDS,,,
Christian Yelich,AIDS,,,
Pablo Lopez,AIDS,,,
Tyler O'Neill,Fish Fry,,,
Hunter Greene,Fish Fry,,,
Jose Alvarado,Fish Fry,,,
Tanner Scott,Fish Fry,,,
Jazz Chisholm,Balks,,,
Mitch Keller,Balks,,,
Logan Gilbert,Balks,,,
Seth Lugo,Balks,,,
Shohei Ohtani,Choice,,,
Isaac Paredes,Cornballers,,,
Tarik Skubal,Cornballers,,,
Willy Adames,Pollos,,,
Ian Happ,Pollos,,,
Dylan Cease,Pollos,,,
Joe Ryan,Pollos,,,
Edwin Diaz,Pollos,,,
Michael King,Pollos,,,
Corey Seager,Nate,,,
Casey Mize,Nate,,,
Max Muncy,NEO,,,
Cody Bellinger,NEO,,,
Seiya Suzuki,NEO,,,
Bryce Harper,Roof,,,
Jose Altuve,Roof,,,
Justin Steele,Roof,,,
Zack Wheeler,Roof,,,
JP Crawford,Tones,,,
Jonathan India,Tones,,,
Bailey Ober,Tones,,,
Jorge Soler,Wind,,,